date,command,MAP,date_error,data_error,tape,file,phy_record,log_record
1971-07-31T19:23:13.678000Z,9,1,-,-,1,1,12,65
1971-07-31T19:24:33.372000Z,9,1,-,-,1,1,12,97
1971-07-31T19:26:58.270000Z,3,1,-,-,1,1,13,67
1971-07-31T19:27:38.117000Z,3,1,-,-,1,1,13,33
1971-07-31T20:25:03.671000Z,12,1,-,-,1,1,34,70
1971-07-31T20:26:08.271000Z,14,1,-,-,1,1,35,07
1971-07-31T20:28:23.510000Z,6,1,-,-,1,1,36,61
1971-07-31T20:35:08.620000Z,14,1,-,-,1,1,38,92
1971-07-31T20:40:53.357000Z,5,1,-,-,1,1,40,23
1971-07-31T20:41:33.204000Z,5,1,-,-,1,1,41,19
1971-07-31T20:44:13.799000Z,6,1,-,-,1,1,42,15
1971-07-31T20:45:08.136000Z,14,1,-,-,1,1,42,05
1971-07-31T20:46:23.604000Z,7,1,-,-,1,1,42,30
1971-07-31T20:53:53.391000Z,14,1,-,-,1,1,45,65
1971-07-31T20:56:28.553000Z,10,1,-,-,1,1,46,52
1971-07-31T20:56:43.647000Z,11,1,-,-,1,1,46,77
1971-07-31T20:57:58.511000Z,15,1,-,-,1,1,47,31
1971-07-31T21:00:16.768000Z,15,1,-,-,1,1,47,60
1971-07-31T21:19:38.368000Z,10,1,-,-,1,1,55,24
1971-07-31T21:20:48.402000Z,7,1,-,-,1,1,55,40
1971-07-31T21:21:28.249000Z,15,1,-,-,1,1,55,06
1971-07-31T21:22:38.283000Z,7,1,-,-,1,1,56,52
1971-07-31T21:22:40.697000Z,7,1,-,-,1,1,56,56
1971-07-31T21:24:03.410000Z,7,1,-,-,1,1,56,93
1971-07-31T21:24:05.825000Z,7,1,-,-,1,1,56,97
1971-07-31T21:25:23.708000Z,7,1,-,-,1,1,57,56
1971-07-31T21:25:26.123000Z,7,1,-,-,1,1,57,60
1971-07-31T21:26:03.555000Z,7,1,-,-,1,1,57,22
1971-07-31T21:26:05.366000Z,7,1,-,-,1,1,57,25
1971-07-31T21:26:48.836000Z,7,1,-,-,1,1,57,97
1971-07-31T21:26:53.062000Z,7,1,-,-,1,1,57,04
1971-07-31T21:27:24.456000Z,7,1,-,-,1,1,57,56
1971-07-31T21:27:27.475000Z,7,1,-,-,1,1,57,61
1971-07-31T21:28:08.530000Z,10,1,-,-,1,1,58,59
1971-07-31T21:28:23.020000Z,11,1,-,-,1,1,58,83
1971-07-31T21:30:03.844000Z,7,1,-,-,1,1,58,50
1971-07-31T21:30:44.295000Z,7,1,-,-,1,1,59,47
1971-07-31T21:31:13.879000Z,10,1,-,-,1,1,59,96
1971-07-31T21:33:38.777000Z,7,1,-,-,1,1,60,66
1971-07-31T21:33:42.399000Z,7,1,-,-,1,1,60,72
1971-07-31T21:34:48.811000Z,7,1,-,-,1,1,60,82
1971-07-31T21:34:52.433000Z,7,1,-,-,1,1,60,88
1971-07-31T21:35:43.751000Z,7,1,-,-,1,1,61,3
