date,command,MAP,date_error,data_error,tape,file,phy_record,log_record
1976-03-01T06:08:07.301000Z,3,0,-,-,1,1,139,14
1976-03-01T14:14:14.163000Z,4,1,-,-,1,3,711,59
1976-03-01T14:14:23.823000Z,3,1,-,-,1,3,713,19
1976-03-01T14:15:34.461000Z,3,1,-,-,1,3,723,4
1976-03-01T14:16:43.891000Z,4,1,-,-,1,3,732,39
1976-03-02T01:05:36.930000Z,14,0,-,-,1,4,204,54
1976-03-02T21:02:28.666000Z,9,0,-,-,1,5,534,24
1976-03-03T13:27:31.583000Z,10,0,-,-,1,6,597,4
1976-03-03T16:02:13.544000Z,4,1,-,-,1,7,878,59
1976-03-03T16:02:23.808000Z,3,1,-,-,1,7,880,24
1976-03-03T16:03:13.918000Z,4,1,-,-,1,7,887,19
1976-03-03T16:03:24.182000Z,3,1,-,-,1,7,888,44
1976-03-04T06:28:29.878000Z,11,0,-,-,1,8,171,24
1976-03-04T12:39:08.995000Z,6,0,*,*,1,8,871,39
1976-03-04T12:39:09.598000Z,6,0,*,*,1,8,871,44
1976-03-04T12:39:10.806000Z,15,1,*,*,1,8,871,54
1976-03-04T15:51:19.896000Z,13,0,-,-,1,9,460,4
1976-03-05T01:14:12.529000Z,11,0,-,-,1,10,565,24
1976-03-05T02:58:35.168000Z,6,0,-,-,1,10,429,49
1976-03-05T09:13:57.253000Z,11,0,-,-,1,10,726,9
1976-03-05T14:03:22.339000Z,2,0,-,-,1,10,867,4
1976-03-05T14:56:13.594000Z,4,1,-,-,1,11,272,49
1976-03-05T14:56:24.462000Z,3,1,-,-,1,11,274,19
1976-03-05T14:57:18.195000Z,4,1,-,-,1,11,281,44
1976-03-05T14:57:25.440000Z,3,1,-,-,1,11,282,44
1976-03-05T19:30:59.435000Z,12,1,*,*,1,11,547,14
1976-03-06T02:12:07.081000Z,4,0,-,-,1,12,82,34
1976-03-06T02:47:12.941000Z,3,0,-,-,1,12,373,14
1976-03-06T08:22:16.429000Z,13,0,-,-,1,12,733,14
1976-03-06T10:23:38.382000Z,12,0,-,-,1,12,796,49
1976-03-06T12:56:25.020000Z,9,0,-,-,1,12,062,4
1976-03-06T15:51:38.613000Z,3,0,-,-,1,13,435,14
1976-03-07T11:57:25.277000Z,15,0,-,-,1,14,026,19
1976-03-07T15:01:14.464000Z,4,1,-,-,1,15,80,39
1976-03-07T15:01:24.728000Z,3,1,-,-,1,15,82,4
1976-03-07T15:02:14.838000Z,4,1,-,-,1,15,88,59
1976-03-07T15:02:24.498000Z,3,1,-,-,1,15,90,19
1976-03-07T16:03:53.977000Z,9,0,-,-,1,15,599,34
1976-03-08T04:18:06.582000Z,11,0,-,-,1,16,930,54
1976-03-08T13:41:16.519000Z,13,0,-,-,1,18,050,14
1976-03-08T15:19:14.565000Z,4,1,-,-,1,18,861,34
1976-03-08T15:19:24.225000Z,3,1,-,-,1,18,862,54
1976-03-08T15:20:14.940000Z,4,1,-,-,1,18,869,54
1976-03-08T15:20:25.808000Z,3,1,-,-,1,18,871,24
1976-03-08T21:00:10.390000Z,6,0,*,*,1,19,830,34
1976-03-09T02:49:11.289000Z,9,0,-,-,1,19,764,44
1976-03-09T15:42:40.488000Z,4,1,-,-,1,20,223,49
