Code,Network,,,Station,Component,Items,Start time,End time,Comments,,,,,,,,
0,XA,,,S11,MH1,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S11,MH2,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S11,MHZ,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S11,SHZ,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S12,SHZ,2,1969-11-19T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"SPZ component displaying reduced sensitivity at low signal levels. The other three seismometers (LPX, LPY, LPZ) have operated properly since initial activation.",,,,,,,,
2,XA,,,S12,MH1,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S12,MH2,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S12,MHZ,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S12,SHZ,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S14,MH1,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S14,MH2,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S14,MHZ,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S14,SHZ,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S15,MH1,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
2,XA,,,S15,MH2,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
2,XA,,,S15,MHZ,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
2,XA,,,S15,SHZ,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
0,XA,,,S14,MHZ,5,1972-03-20T00:00:00.000000Z,1976-11-17T00:00:00.000000Z,LPZ axis inoperative. Analysis of the problem indicated this failure was either component failure or a wire connection problem. It was concluded that the failure was random rather than generic. On 1976-11-17 the long period z-axis responded to leveling; calibration and seismic events possible for the first time since Mar. 1972. Feedback loop filter OUT. ???? Note clear when/if this problem was fixed. ,,,,,,,,
2,XA,,,S16,MH1,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S16,MH2,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S16,MHZ,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S16,SHZ,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S12,MH1,8,1974-10-16T00:00:00.000000Z,1975-04-09T00:00:00.000000Z,"The instrument was commanded to operate with the feedback filter IN. The principal investigator requested this operation to obtain data for comparison with data from filter OUT operation. The instrument performed satisfactorily with the feedback filter IN. Test was completed on Apr. 9, 1975, and the instrument was returned to the feedback filter OUT mode.",,,,,,,,
2,XA,,,S12,MH2,8,1974-10-16T00:00:00.000000Z,1975-04-09T00:00:00.000000Z,"The instrument was commanded to operate with the feedback filter IN. The principal investigator requested this operation to obtain data for comparison with data from filter OUT operation. The instrument performed satisfactorily with the feedback filter IN. Test was completed on Apr. 9, 1975, and the instrument was returned to the feedback filter OUT mode.",,,,,,,,
2,XA,,,S12,MHZ,8,1974-10-16T00:00:00.000000Z,1975-04-09T00:00:00.000000Z,"The instrument was commanded to operate with the feedback filter IN. The principal investigator requested this operation to obtain data for comparison with data from filter OUT operation. The instrument performed satisfactorily with the feedback filter IN. Test was completed on Apr. 9, 1975, and the instrument was returned to the feedback filter OUT mode.",,,,,,,,
2,XA,,,S12,MH1,8a,1975-04-09T00:00:00.000000Z,1975-06-28T00:00:00.000000Z,Feedback filter OUT mode.,,,,,,,,
2,XA,,,S12,MH2,8a,1975-04-09T00:00:00.000000Z,1975-06-28T00:00:00.000000Z,Feedback filter OUT mode.,,,,,,,,
2,XA,,,S12,MHZ,8a,1975-04-09T00:00:00.000000Z,1975-06-28T00:00:00.000000Z,Feedback filter OUT mode.,,,,,,,,
