t1,t2,station,channel,location
1969-07-21T07:03:35.592176Z,1969-07-21T23:59:59.592176Z,S11,MHZ,00
1969-07-21T07:03:35.554176Z,1969-07-21T23:59:59.554176Z,S11,MH1,00
1969-07-21T07:03:35.573176Z,1969-07-21T23:59:59.573176Z,S11,MH2,00
1969-07-21T07:03:35.488176Z,1969-07-21T23:59:59.620251Z,S11,SHZ,
1969-07-22T00:00:00.152000Z,1969-07-22T23:59:58.944453Z,S11,MHZ,00
1969-07-22T00:00:00.114000Z,1969-07-22T23:59:58.906453Z,S11,MH1,00
1969-07-22T00:00:00.133000Z,1969-07-22T23:59:58.925453Z,S11,MH2,00
1969-07-22T00:00:00.048000Z,1969-07-22T23:59:58.840453Z,S11,SHZ,
1969-07-23T00:00:00.329499Z,1969-07-23T23:58:29.612518Z,S11,MHZ,00
1969-07-23T00:00:00.291499Z,1969-07-23T23:58:29.574518Z,S11,MH1,00
1969-07-23T00:00:00.310499Z,1969-07-23T23:58:29.593518Z,S11,MH2,00
1969-07-23T00:00:00.225499Z,1969-07-23T23:58:29.640593Z,S11,SHZ,
1969-07-24T00:03:46.025130Z,1969-07-24T23:59:55.232677Z,S11,MHZ,00
1969-07-24T00:03:45.987130Z,1969-07-24T23:59:55.194677Z,S11,MH1,00
1969-07-24T00:03:46.006130Z,1969-07-24T23:59:55.213677Z,S11,MH2,00
1969-07-24T00:03:45.921130Z,1969-07-24T23:59:55.260753Z,S11,SHZ,
1969-07-25T00:00:00.552000Z,1969-07-25T23:59:54.363321Z,S11,MHZ,00
1969-07-25T00:00:00.514000Z,1969-07-25T23:59:54.325321Z,S11,MH1,00
1969-07-25T00:00:00.533000Z,1969-07-25T23:59:54.344321Z,S11,MH2,00
1969-07-25T00:00:00.448000Z,1969-07-25T23:59:54.391396Z,S11,SHZ,
1969-07-26T00:00:00.467000Z,1969-07-26T23:59:53.674547Z,S11,MHZ,00
1969-07-26T00:00:00.429000Z,1969-07-26T23:59:53.636547Z,S11,MH1,00
1969-07-26T00:00:00.448000Z,1969-07-26T23:59:53.655547Z,S11,MH2,00
1969-07-26T00:00:00.363000Z,1969-07-26T23:59:53.702623Z,S11,SHZ,
1969-07-27T00:00:00.148000Z,1969-07-27T23:59:53.959321Z,S11,MHZ,00
1969-07-27T00:00:00.110000Z,1969-07-27T23:59:53.921321Z,S11,MH1,00
1969-07-27T00:00:00.129000Z,1969-07-27T23:59:53.940321Z,S11,MH2,00
1969-07-27T00:00:00.044000Z,1969-07-27T23:59:53.987396Z,S11,SHZ,
1969-07-28T00:00:00.380000Z,1969-07-28T23:59:54.191321Z,S11,MHZ,00
1969-07-28T00:00:00.342000Z,1969-07-28T23:59:54.153321Z,S11,MH1,00
1969-07-28T00:00:00.361000Z,1969-07-28T23:59:54.172321Z,S11,MH2,00
1969-07-28T00:00:00.276000Z,1969-07-28T23:59:54.219396Z,S11,SHZ,
1969-07-29T00:00:00.389000Z,1969-07-29T23:59:54.804094Z,S11,MHZ,00
1969-07-29T00:00:00.351000Z,1969-07-29T23:59:54.766094Z,S11,MH1,00
1969-07-29T00:00:00.370000Z,1969-07-29T23:59:54.785094Z,S11,MH2,00
1969-07-29T00:00:00.285000Z,1969-07-29T23:59:54.832170Z,S11,SHZ,
1969-07-30T00:00:00.241000Z,1969-07-30T23:59:56.014585Z,S11,MHZ,00
1969-07-30T00:00:00.203000Z,1969-07-30T23:59:55.976585Z,S11,MH1,00
1969-07-30T00:00:00.222000Z,1969-07-30T23:59:55.995585Z,S11,MH2,00
1969-07-30T00:00:00.137000Z,1969-07-30T23:59:55.910585Z,S11,SHZ,
1969-07-31T00:00:00.148835Z,1969-07-31T23:45:32.979024Z,S11,MHZ,00
1969-07-31T00:00:00.110835Z,1969-07-31T23:45:32.941024Z,S11,MH1,00
1969-07-31T00:00:00.129835Z,1969-07-31T23:45:32.960024Z,S11,MH2,00
1969-07-31T00:00:00.044835Z,1969-07-31T23:45:33.007099Z,S11,SHZ,
1969-08-01T16:27:29.592195Z,1969-08-01T23:59:58.724270Z,S11,MHZ,00
1969-08-01T16:27:29.554195Z,1969-08-01T23:59:58.686270Z,S11,MH1,00
1969-08-01T16:27:29.573195Z,1969-08-01T23:59:58.705270Z,S11,MH2,00
1969-08-01T16:27:29.488195Z,1969-08-01T23:59:58.752346Z,S11,SHZ,
1969-08-02T00:00:00.226000Z,1969-08-03T00:00:00.678830Z,S11,MHZ,00
1969-08-02T00:00:00.188000Z,1969-08-03T00:00:00.640830Z,S11,MH1,00
1969-08-02T00:00:00.207000Z,1969-08-03T00:00:00.659830Z,S11,MH2,00
1969-08-02T00:00:00.122000Z,1969-08-03T00:00:00.706906Z,S11,SHZ,
1969-08-03T00:00:00.375000Z,1969-08-03T11:58:51.393868Z,S11,MHZ,00
1969-08-03T00:00:00.337000Z,1969-08-03T11:58:51.355868Z,S11,MH1,00
1969-08-03T00:00:00.356000Z,1969-08-03T11:58:51.374868Z,S11,MH2,00
1969-08-03T00:00:00.271000Z,1969-08-03T11:58:51.421943Z,S11,SHZ,
1969-08-19T12:08:37.065303Z,1969-08-20T00:00:01.291718Z,S11,MHZ,00
1969-08-19T12:08:37.027303Z,1969-08-20T00:00:01.253718Z,S11,MH1,00
1969-08-19T12:08:37.046303Z,1969-08-20T00:00:01.272718Z,S11,MH2,00
1969-08-19T12:08:36.961303Z,1969-08-20T00:00:01.319794Z,S11,SHZ,
1969-08-20T00:00:00.179000Z,1969-08-20T23:59:58.820509Z,S11,MHZ,00
1969-08-20T00:00:00.141000Z,1969-08-20T23:59:58.782509Z,S11,MH1,00
1969-08-20T00:00:00.160000Z,1969-08-20T23:59:58.801509Z,S11,MH2,00
1969-08-20T00:00:00.075000Z,1969-08-20T23:59:58.848585Z,S11,SHZ,
1969-08-21T00:00:00.256000Z,1969-08-21T23:59:54.218264Z,S11,MHZ,00
1969-08-21T00:00:00.218000Z,1969-08-21T23:59:54.180264Z,S11,MH1,00
1969-08-21T00:00:00.237000Z,1969-08-21T23:59:54.199264Z,S11,MH2,00
1969-08-21T00:00:00.152000Z,1969-08-21T23:59:54.114264Z,S11,SHZ,
1969-08-22T00:00:00.602000Z,1969-08-22T23:59:55.620868Z,S11,MHZ,00
1969-08-22T00:00:00.564000Z,1969-08-22T23:59:55.582868Z,S11,MH1,00
1969-08-22T00:00:00.583000Z,1969-08-22T23:59:55.601868Z,S11,MH2,00
1969-08-22T00:00:00.498000Z,1969-08-22T23:59:55.648943Z,S11,SHZ,
1969-08-23T00:00:00.369000Z,1969-08-24T00:00:24.972774Z,S11,MHZ,00
1969-08-23T00:00:00.331000Z,1969-08-24T00:00:24.934774Z,S11,MH1,00
1969-08-23T00:00:00.350000Z,1969-08-24T00:00:24.953774Z,S11,MH2,00
1969-08-23T00:00:00.265000Z,1969-08-24T00:00:25.000849Z,S11,SHZ,
