t1,t2,station,channel,location
1974-10-15T00:00:00.647000Z,1974-10-16T00:00:03.514925Z,S12,MHZ,00
1974-10-15T00:00:00.609000Z,1974-10-16T00:00:03.476925Z,S12,MH1,00
1974-10-15T00:00:00.628000Z,1974-10-16T00:00:03.495925Z,S12,MH2,00
1974-10-16T00:00:00.309000Z,1974-10-16T14:02:38.346736Z,S12,MHZ,00
1974-10-16T14:02:38.346736Z,1974-10-17T00:00:03.780698Z,S12,MHZ,01
1974-10-16T00:00:00.271000Z,1974-10-16T14:02:38.459679Z,S12,MH1,00
1974-10-16T14:02:38.459679Z,1974-10-17T00:00:03.742698Z,S12,MH1,01
1974-10-16T00:00:00.290000Z,1974-10-16T14:02:38.327736Z,S12,MH2,00
1974-10-16T14:02:38.327736Z,1974-10-17T00:00:03.761698Z,S12,MH2,01
1974-10-17T00:00:00.581000Z,1974-10-18T00:00:03.448925Z,S12,MHZ,01
1974-10-17T00:00:00.543000Z,1974-10-18T00:00:03.410925Z,S12,MH1,01
1974-10-17T00:00:00.562000Z,1974-10-18T00:00:03.429925Z,S12,MH2,01
