t1,t2,station,channel,location
1974-10-15T00:00:00.647000Z,1974-10-15T11:53:45.854547Z,S12,MHZ,00
1974-10-15T12:31:54.458321Z,1974-10-16T00:00:03.514925Z,S12,MHZ,00
1974-10-15T00:00:00.609000Z,1974-10-15T11:53:45.816547Z,S12,MH1,00
1974-10-15T12:31:54.420321Z,1974-10-16T00:00:03.476925Z,S12,MH1,00
1974-10-15T00:00:00.628000Z,1974-10-15T11:53:45.835547Z,S12,MH2,00
1974-10-15T12:31:54.439321Z,1974-10-16T00:00:03.495925Z,S12,MH2,00
1974-10-16T00:00:00.309000Z,1974-10-16T03:32:33.969377Z,S12,MHZ,00
1974-10-16T03:34:33.818434Z,1974-10-16T13:43:53.818434Z,S12,MHZ,00
1974-10-16T13:44:32.761830Z,1974-10-16T14:02:38.346736Z,S12,MHZ,00
1974-10-16T14:02:38.346736Z,1974-10-17T00:00:03.780698Z,S12,MHZ,01
1974-10-16T00:00:00.271000Z,1974-10-16T03:32:33.931377Z,S12,MH1,00
1974-10-16T03:34:33.780434Z,1974-10-16T13:43:53.780434Z,S12,MH1,00
1974-10-16T13:44:32.723830Z,1974-10-16T14:02:38.459679Z,S12,MH1,00
1974-10-16T14:02:38.459679Z,1974-10-17T00:00:03.742698Z,S12,MH1,01
1974-10-16T00:00:00.290000Z,1974-10-16T03:32:33.950377Z,S12,MH2,00
1974-10-16T03:34:33.799434Z,1974-10-16T13:43:53.799434Z,S12,MH2,00
1974-10-16T13:44:32.742830Z,1974-10-16T14:02:38.327736Z,S12,MH2,00
1974-10-16T14:02:38.327736Z,1974-10-17T00:00:03.761698Z,S12,MH2,01
1974-10-17T00:00:00.581000Z,1974-10-17T18:55:28.128170Z,S12,MHZ,01
1974-10-17T19:11:06.694208Z,1974-10-18T00:00:03.448925Z,S12,MHZ,01
1974-10-17T00:00:00.543000Z,1974-10-17T18:55:28.090170Z,S12,MH1,01
1974-10-17T19:11:06.656208Z,1974-10-18T00:00:03.410925Z,S12,MH1,01
1974-10-17T00:00:00.562000Z,1974-10-17T18:55:28.109170Z,S12,MH2,01
1974-10-17T19:11:06.675208Z,1974-10-18T00:00:03.429925Z,S12,MH2,01
