filename,comment


# new section

pse.a16.12.30.S16.4.1973.128.00_00_00_184151.csv.gz

# I made manual copies of the following files and edited the stations. 
# wtn.2.11.S12.4.1976.093.00_00_00_016000.csv.gz(S15) wtn.2.11.S15.4.1976.093.00_00_00_391000.csv.gz(S12) wtn.2.11.S12.4.1976.092.19_47_10_147000.csv.gz(S15) wtn.2.11.S15.4.1976.092.19_47_10_024000.csv.gz(S12)

pse.a14.1.15.S14.2.1971.051.03_15_22_163000.csv.gz,"S12"

pse.a12.3.132.S12.10.1971.071.00_49_55_196000.csv.gz,"S14"
pse.a12.3.132.S12.10.1971.071.01_34_49_088000.csv.gz,"S14"

pse.a12.4.22.S12.1.1971.136.08_40_02_298000.csv.gz,"S14"
pse.a12.4.22.S12.1.1971.136.08_47_09_741000.csv.gz,"S14"

pse.a12.5.10.S12.13.1971.312.01_22_43_273000.csv.gz,"S14"

pse.a14.2.8.S14.5.1971.223.22_06_12_770000.csv.gz,"S15"
pse.a14.2.8.S14.5.1971.223.22_14_36_454000.csv.gz,"S15"
pse.a14.2.8.S14.5.1971.223.22_50_42_139000.csv.gz,"S15"

#pse.a12.6.173.S12.11.1973.037.23_15_46_866000.csv.gz,"unable to merge"

#pse.a12.6.173.S12.11.1973.038.00_00_00_246000.csv.gz,"unable to merge"

pse.a12.6.191.S12.1.1973.055.14_21_21_530000.csv.gz,"S16"
pse.a16.2.146.S16.2.1973.062.09_17_27_456000.csv.gz,"S12"
pse.a14.5.54.S14.6.1973.069.23_27_02_244000.csv.gz,"S15"
pse.a14.5.63.S14.14.1973.080.12_36_06_612000.csv.gz,"S16"
pse.a15.4.101.S15.9.1973.109.21_41_26_888000.csv.gz,"S16"

pse.a12.6.249.S12.9.1973.116.02_44_52_834000.csv.gz,"S14 swap"
pse.a12.6.249.S12.6.1973.116.02_59_09_521000.csv.gz,"S14 swap"


pse.a15.4.111.S15.9.1973.120.04_47_03_043000.csv.gz,"S16"

pse.a12.6.277.S12.5.1973.143.16_00_33_116000.csv.gz,"S16"

pse.a12.7.4.S12.4.1973.159.21_59_00_779000.csv.gz,"S16"

pse.a12.7.139.S12.0.1973.294.18_47_20_536000.csv.gz,"various swaps"
pse.a12.7.139.S12.0.1973.294.18_50_59_698000.csv.gz,"various swaps"

pse.a12.7.182.S12.-1.1973.338.11_31_22_947000.csv.gz,"S16"

pse.a15.12.25.S15.9.1973.138.00_51_16_823000.csv.gz,"unable to merge"

pse.a15.5.33.S15.6.1973.221.00_33_35_886000.csv.gz,"S14"

pse.a16.3.131.S16.10.1973.224.21_32_54_214000.csv.gz,"S14"

pse.a12.7.119.S12.10.1973.274.14_21_21_232000.csv.gz,"S16"

pse.a15.5.98.S15.5.1973.285.18_52_00_600000.csv.gz,"S16"

pse.a14.6.99.S14.0.1973.294.18_47_42_926000.csv.gz,"various swaps"
pse.a14.6.99.S14.0.1973.294.18_52_52_057000.csv.gz,"various swaps"
pse.a14.6.99.S14.0.1973.294.19_00_30_243000.csv.gz,"various swaps"
pse.a14.6.99.S14.0.1973.294.19_05_15_455000.csv.gz,"various swaps"

