year,julday,station

1969, 203, S11
1969, 211, S11
1969, 236, S11
1969, 233, S11

1970, 9, S12
1970, 79, S12
1970, 82, S12
1970, 232, S12
1970, 297, S12

1971, 5, S12
1971, 88, S12
1971, 96, S12
1971, 135, S12
1971, 147, S12
1971, 164, S12
1971, 180, S12
1971, 263, S12
1971, 208, S12
1971, 270, S12
1971, 279, S12
1971, 364, S12

1971, 88, S14
1971, 89, S14
1971, 96, S14
1971, 104, S14
1971, 135, S14
1971, 180, S14
1971, 208, S14
1971, 231, S14
1971, 263, S14
1971, 279, S14
1971, 305, S14

1971, 263, S15
1971, 270, S15
1971, 279, S15
1971, 284, S15
1971, 305, S15
1971, 342, S15

1972, 69, S12
1972, 94, S12
1972, 148, S12
1972, 166, S12
1972, 191, S12
1972, 194, S12
1972, 206, S12
1972, 220, S12
1972, 249, S12
1972, 267, S12
1972, 307, S12
1972, 321, S12
1972, 327, S12
1972, 335, S12
1972, 353, S12

1972, 2, S14
1972, 7, S14
1972, 94, S14
1972, 166, S14
1972, 191, S14
1972, 194, S14
1972, 220, S14
1972, 249, S14
1972, 267, S14
1972, 293, S14
1972, 319, S14
1972, 333, S14
1972, 336, S14
1972, 337, S14
1972, 343, S14
1972, 349, S14
1972, 358, S14

1972, 41, S15
1972, 77, S15
1972, 94, S15
1972, 99, S15
1972, 127, S15
1972, 151, S15
1972, 162, S15
1972, 173, S15
1972, 184, S15
1972, 200, S15
1972, 205, S15
1972, 230, S15
1972, 263, S15
1972, 299, S15
1972, 305, S15
1972, 341, S15
1972, 344, S15
1972, 353, S15

1972, 127, S16
1972, 143, S16
1972, 164, S16
1972, 165, S16
1972, 167, S16
1972, 184, S16
1972, 200, S16
1972, 205, S16
1972, 247, S16
1972, 263, S16
1972, 299, S16
1972, 329, S16
1972, 344, S16
1972, 353, S16

1973, 19, S12
1973, 20, S12
1973, 33, S12
1973, 37, S12
1973, 40, S12
1973, 46, S12
1973, 54, S12
1973, 68, S12
1973, 69, S12
1973, 76, S12
1973, 81, S12
1973, 84, S12
1973, 85, S12
1973, 86, S12
1973, 88, S12
1973, 93, S12
1973, 100, S12
1973, 115, S12
1973, 218, S12


1973, 37, S14
1973, 54, S14
1973, 59, S14
1973, 76, S14
1973, 82, S14
1973, 84, S14
1973, 85, S14
1973, 88, S14
1973, 90, S14
1973, 93, S14
1973, 96, S14
1973, 97, S14
1973, 100, S14
1973, 103, S14
1973, 138, S14
1973, 275, S14


1973, 2, S15
1973, 52, S15
1973, 54, S15
1973, 61, S15
1973, 86, S15
1973, 87, S15
1973, 88, S15
1973, 89, S15
1973, 93, S15
1973, 96, S15
1973, 97, S15
1973, 115, S15
1973, 127, S15
1973, 134, S15

1973, 2, S16
1973, 31, S16
1973, 57, S16
1973, 61, S16
1973, 88, S16
1973, 91, S16
1973, 96, S16
1973, 97, S16
1973, 127, S16
1973, 134, S16
1973, 293, S16

1975, 300, S16

1976, 220, S12
1976, 284, S12

1976, 220, S14

1976, 220, S15
1976, 284, S15

1976, 25, S16

1976, 220, S16

1977, 224, S12
