year,julday,station

1969, 204, S11
1969, 212, S11
1969, 237, S11

1969, 330, S12

1970, 10, S12
1970, 80, S12
1970, 83, S12
1970, 233, S12
1970, 297, S12
1970, 298, S12

1971, 6, S12
1971, 32, S12
1971, 89, S12
1971, 97, S12
1971, 136, S12
1971, 148, S12
1971, 165, S12
1971, 181, S12
1971, 209, S12
1971, 264, S12
1971, 271, S12
1971, 280, S12
1971, 365, S12

1971, 89, S14
1971, 90, S14
1971, 97, S14
1971, 105, S14
1971, 136, S14
1971, 181, S14
1971, 209, S14
1971, 232, S14
1971, 264, S14
1971, 280, S14
1971, 306, S14

1971, 264, S15
1971, 271, S15
1971, 280, S15
1971, 285, S15
1971, 306, S15

1972, 70, S12
1972, 95, S12
1972, 149, S12
1972, 167, S12
1972, 192, S12
1972, 195, S12
1972, 207, S12
1972, 221, S12
1972, 250, S12
1972, 268, S12
1972, 308, S12
1972, 322, S12
1972, 328, S12
1972, 336, S12
1972, 354, S12

1972, 3, S14
1972, 8, S14
1972, 95, S14
1972, 167, S14
1972, 192, S14
1972, 195, S14
1972, 221, S14
1972, 250, S14
1972, 268, S14
1972, 294, S14
1972, 334, S14
1972, 337, S14
1972, 338, S14
1972, 344, S14
1972, 350, S14
1972, 359, S14

1972, 42, S15
1972, 78, S15
1972, 95, S15
1972, 97, S15
1972, 100, S15
1972, 128, S15
1972, 152, S15
1972, 163, S15
1972, 174, S15
1972, 185, S15
1972, 201, S15
1972, 206, S15
1972, 231, S15
1972, 264, S15
1972, 287, S15
1972, 300, S15
1972, 306, S15
1972, 342, S15
1972, 345, S15
1972, 354, S15

1972, 120, S16
1972, 128, S16
1972, 144, S16
1972, 165, S16
1972, 166, S16
1972, 168, S16
1972, 184, S16
1972, 201, S16
1972, 203, S16
1972, 206, S16
1972, 248, S16
1972, 264, S16
1972, 300, S16
1972, 330, S16
1972, 331, S16
1972, 345, S16
1972, 354, S16

1973, 20, S12
1973, 21, S12
1973, 34, S12
1973, 38, S12
1973, 41, S12
1973, 47, S12
1973, 55, S12
1973, 69, S12
1973, 70, S12
1973, 77, S12
1973, 82, S12
1973, 85, S12
1973, 87, S12
1973, 89, S12
1973, 94, S12
1973, 101, S12
1973, 116, S12
1973, 133, S12
1973, 219, S12

1973, 38, S14
1973, 60, S14
1973, 77, S14
1973, 85, S14
1973, 86, S14
1973, 89, S14
1973, 91, S14
1973, 94, S14
1973, 97, S14
1973, 98, S14
1973, 101, S14
1973, 104, S14
1973, 135, S14
1973, 139, S14
1973, 276, S14

1973, 3, S15
1973, 62, S15
1973, 87, S15
1973, 88, S15
1973, 89, S15
1973, 94, S15
1973, 97, S15
1973, 98, S15
1973, 116, S15
1973, 128, S15
1973, 135, S15

1973, 3, S16
1973, 32, S16
1973, 41, S16
1973, 55, S16
1973, 58, S16
1973, 62, S16
1973, 89, S16
1973, 92, S16
1973, 93, S16
1973, 97, S16
1973, 98, S16
1973, 128, S16
1973, 135, S16
1973, 147, S16
1973, 158, S16
1973, 159, S16
1973, 196, S16

1974, 205, S15

1976, 73, S12
1976, 93, S12
1976, 193, S12
1976, 216, S12
1976, 221, S12
1976, 271, S12

1976, 142, S14
1976, 193, S14
1976, 221, S14




1976, 93, S15
1976, 221, S15
1976, 271, S15

1976, 93, S16
1976, 221, S16
