filename,correction


#leap correction
pse.a12.5.241.S12.5.1972.183.00_00_00_118000.csv.gz,1.0
pse.a12.5.241.S12.13.1972.183.05_59_57_593000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.00_00_00_232000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.00_16_50_278000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.00_25_08_961000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.00_32_25_460000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.00_43_18_096000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.00_52_19_645000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.01_02_21_567000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.01_13_14_203000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.01_23_39_066000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.01_39_18_476000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.01_41_22_241000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.01_47_35_952000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.01_55_14_789000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_00_22_089000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_09_55_636000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_14_20_675000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_20_28_348000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_27_46_659000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_32_40_073000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_38_44_125000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_42_29_317000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.02_51_45_959000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_02_42_217000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_05_05_302000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_09_46_643000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_11_57_048000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_17_40_573000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_24_52_846000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_28_31_397000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_34_01_639000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_37_31_739000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_39_35_504000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_43_11_037000.csv.gz,1.0
pse.a14.3.155.S14.13.1972.183.03_45_42_574000.csv.gz,1.0
pse.a15.2.156.S15.3.1972.183.00_00_00_311000.csv.gz,1.0
pse.a16.1.71.S16.3.1972.183.00_00_00_165000.csv.gz,1.0

pse.a12.6.136.S12.5.1973.001.00_00_09_330000.csv.gz,1.0
pse.a14.4.166.S14.5.1973.001.00_00_32_799000.csv.gz,1.0
